"","clusterID","size","firstDate","lastDate","medianDate","meanDate","meanCDbase","medianCDbase","meanVLbase","medianVLbase","meanAgeFARV","medianAgeFARV","meanAge2023","medianAge2023","n_RSK","n_MSM","n_HET","n_IDU","n_BLOOD","n_HCV","n_HCVrep","perc_RSK","perc_MSM","perc_HET","perc_IDU","perc_BLOOD","perc_HCV","n_seroconv_2018","n_seroconv_2022","n_PREP","perc_PREP","n_HAknown","n_HA_Van","n_HA_VanIsl","n_HA_Fras","n_HA_North","n_HA_Int","perc_HAknown","perc_HA_Van","perc_HA_VanIsl","perc_HA_Fras","perc_HA_North","perc_HA_Int","n_subB","n_subC","n_subAE","n_subF","n_subBlike","n_subBrecomb","n_subBDrecomb","active","active22","medium","big","large"
"1","57",471,1996-05-30,2022-11-16,2003-11-13,2004-08-07,284.924485125858,250,215727.330143541,93771.5,40.0066518847007,39,56.9394162135893,57.586301369863,386,22,177,331,11,340,435,81.9532908704883,5.69948186528497,45.8549222797927,85.7512953367876,2.84974093264249,78.1609195402299,19,5,0,0,445,162,89,91,85,18,94.47983014862,36.4044943820225,20,20.4494382022472,19.1011235955056,4.04494382022472,471,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE
"2","49",459,1996-06-06,2022-11-17,2000-06-05,2002-05-01,301.48401826484,250.5,177942.7825,55200,40.1306306306306,40,59.1489633469086,59.5082191780822,393,19,186,357,11,371,426,85.6209150326797,4.83460559796438,47.3282442748092,90.8396946564885,2.79898218829517,87.0892018779343,11,1,0,0,433,240,33,87,40,33,94.3355119825708,55.4272517321016,7.62124711316397,20.0923787528868,9.2378752886836,7.62124711316397,459,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE
"3","31",391,1996-07-22,2022-12-19,2014-04-07,2013-08-29,430.795013850416,390,832167.093922652,94537,37.7427055702918,35,46.3013189927692,43.6219178082192,289,257,33,48,1,45,361,73.9130434782609,88.9273356401384,11.4186851211073,16.6089965397924,0.346020761245675,12.4653739612188,94,11,8,8.51063829787234,370,224,72,69,1,4,94.6291560102302,60.5405405405405,19.4594594594595,18.6486486486486,0.27027027027027,1.08108108108108,391,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE
"4","9999",255,1996-06-03,2020-02-07,2006-03-26,2005-10-01,351.971659919028,310,183518.582608696,85800,39.164,38,54.8479780821918,55.8616438356164,188,111,51,74,2,84,244,73.7254901960784,59.0425531914894,27.1276595744681,39.3617021276596,1.06382978723404,34.4262295081967,3,0,0,0,246,168,16,54,2,6,96.4705882352941,68.2926829268293,6.50406504065041,21.9512195121951,0.813008130081301,2.4390243902439,255,0,0,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE
"5","95",158,1998-11-02,2022-11-03,2014-11-23,2014-06-29,456.679738562092,458,624822.026143791,63537,37.4774193548387,35,45.2583296509059,42.4684931506849,101,93,9,18,0,18,146,63.9240506329114,92.0792079207921,8.91089108910891,17.8217821782178,0,12.3287671232877,27,5,6,22.2222222222222,155,99,6,49,1,0,98.1012658227848,63.8709677419355,3.87096774193548,31.6129032258064,0.645161290322581,0,157,0,0,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE
"6","13",150,1996-07-10,2020-02-07,2008-09-26,2008-09-29,371.408163265306,330,183906.510344828,86600,39.3605442176871,39,52.03712608331,53.6602739726027,99,88,7,13,0,15,144,66,88.8888888888889,7.07070707070707,13.1313131313131,0,10.4166666666667,3,0,0,0,146,112,9,23,1,1,97.3333333333333,76.7123287671233,6.16438356164384,15.7534246575342,0.684931506849315,0.684931506849315,150,0,0,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE
"7","137",90,1996-06-04,2022-05-04,2008-04-20,2009-03-26,314.270588235294,260,631634.542168675,100010,39.375,37,52.2109589041096,53.1767123287671,76,0,36,67,1,72,87,84.4444444444444,0,47.3684210526316,88.1578947368421,1.31578947368421,82.7586206896552,26,1,0,0,81,57,4,14,5,1,90,70.3703703703704,4.93827160493827,17.2839506172839,6.17283950617284,1.23456790123457,90,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE
"8","156",75,1996-06-12,2012-03-26,1998-05-12,1999-07-05,167.148648648649,140,197401.210526316,98000,39.5135135135135,39,62.3634950018512,60.7164383561644,68,1,33,64,2,65,72,90.6666666666667,1.47058823529412,48.5294117647059,94.1176470588235,2.94117647058824,90.2777777777778,0,0,0,NA,72,36,1,32,0,3,96,50,1.38888888888889,44.4444444444444,0,4.16666666666667,75,0,0,0,0,0,0,FALSE,FALSE,TRUE,TRUE,FALSE
"9","142",62,1996-09-27,2023-01-24,2012-03-13,2010-05-22,332.80701754386,290,330243.896551724,33447,42.7966101694915,43,54.0388669607616,55.158904109589,44,33,12,9,0,15,57,70.9677419354839,75,27.2727272727273,20.4545454545455,0,26.3157894736842,6,2,0,0,55,18,31,4,0,2,88.7096774193548,32.7272727272727,56.3636363636364,7.27272727272727,0,3.63636363636364,62,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE
"10","201",62,1996-06-24,2019-02-14,1998-04-24,2000-12-05,320.166666666667,270,120609.641509434,37000,38.758064516129,38,58.8326115775519,60.2958904109589,56,5,31,50,6,52,58,90.3225806451613,8.92857142857143,55.3571428571429,89.2857142857143,10.7142857142857,89.6551724137931,2,0,0,0,61,40,2,10,2,7,98.3870967741936,65.5737704918033,3.27868852459016,16.3934426229508,3.27868852459016,11.4754098360656,62,0,0,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE
