"","clusterID","size2017"
"1",1,1
"2",2,5
"3",3,2
"4",5,9
"5",6,11
"6",7,3
"7",8,8
"8",9,2
"9",10,1
"10",11,2
"11",12,7
"12",13,31
"13",14,5
"14",15,11
"15",16,2
"16",17,6
"17",18,1
"18",19,1
"19",20,2
"20",21,1
"21",22,8
"22",23,2
"23",24,3
"24",25,2
"25",26,5
"26",27,2
"27",28,2
"28",29,21
"29",30,3
"30",31,68
"31",32,3
"32",33,2
"33",34,12
"34",35,6
"35",36,3
"36",38,2
"37",39,2
"38",40,2
"39",41,4
"40",43,1
"41",44,2
"42",47,4
"43",48,1
"44",49,230
"45",50,2
"46",51,3
"47",52,4
"48",53,4
"49",54,1
"50",56,1
"51",57,224
"52",58,1
"53",60,1
"54",61,1
"55",62,5
"56",63,1
"57",64,3
"58",65,2
"59",66,2
"60",67,9
"61",68,3
"62",69,4
"63",70,3
"64",72,9
"65",73,8
"66",74,9
"67",75,7
"68",76,1
"69",77,1
"70",79,6
"71",80,3
"72",81,5
"73",82,2
"74",83,6
"75",84,1
"76",85,1
"77",86,1
"78",87,2
"79",88,1
"80",89,3
"81",90,1
"82",91,4
"83",92,4
"84",93,7
"85",95,24
"86",98,3
"87",99,5
"88",100,4
"89",102,7
"90",103,2
"91",104,3
"92",105,16
"93",106,1
"94",107,1
"95",108,3
"96",109,22
"97",110,25
"98",112,3
"99",113,1
"100",115,2
"101",116,1
"102",117,3
"103",119,2
"104",120,2
"105",121,3
"106",122,10
"107",123,1
"108",124,4
"109",125,1
"110",127,1
"111",128,6
"112",129,3
"113",131,8
"114",132,12
"115",133,4
"116",134,1
"117",135,6
"118",136,7
"119",137,31
"120",138,4
"121",139,2
"122",140,1
"123",142,14
"124",143,4
"125",144,1
"126",145,1
"127",146,3
"128",147,1
"129",148,4
"130",149,6
"131",150,5
"132",152,2
"133",155,3
"134",156,40
"135",157,2
"136",158,4
"137",159,4
"138",160,3
"139",161,2
"140",162,2
"141",163,6
"142",164,9
"143",165,4
"144",166,8
"145",167,5
"146",169,5
"147",170,3
"148",171,5
"149",172,11
"150",173,3
"151",174,2
"152",175,24
"153",176,1
"154",177,15
"155",178,3
"156",179,1
"157",180,3
"158",181,5
"159",182,4
"160",183,6
"161",184,1
"162",185,4
"163",187,2
"164",188,2
"165",189,1
"166",191,4
"167",192,1
"168",193,5
"169",195,1
"170",196,1
"171",198,4
"172",199,3
"173",200,19
"174",201,35
"175",202,3
"176",203,5
"177",204,29
"178",206,13
"179",207,1
"180",208,2
"181",209,9
"182",210,18
"183",211,2
"184",212,5
"185",213,2
"186",214,1
"187",215,7
"188",216,2
"189",217,12
"190",218,5
"191",219,8
"192",220,1
"193",221,2
"194",222,1
"195",223,1
"196",224,1
"197",225,2
"198",226,2
"199",227,1
"200",228,1
"201",229,2
"202",230,1
"203",231,2
"204",232,2
"205",234,8
"206",235,14
"207",236,3
"208",237,2
"209",238,1
"210",239,1
"211",240,1
"212",241,1
"213",242,2
"214",243,1
"215",246,6
"216",9999,1582
