"","clusterID","total.observed","mean.sample","adjust.seed"
"1",13,3,8,2.66666666666667
"2",14,1,3,3
"3",22,19,22,1.15789473684211
"4",24,1,NA,NA
"5",26,5,5,1
"6",29,1,3,3
"7",31,94,16,0.170212765957447
"8",33,1,4,4
"9",35,2,3,1.5
"10",37,3,NA,NA
"11",40,3,1,0.333333333333333
"12",41,7,10,1.42857142857143
"13",42,3,NA,NA
"14",44,1,NA,NA
"15",45,2,NA,NA
"16",49,11,17,1.54545454545455
"17",50,1,NA,NA
"18",52,4,1,0.25
"19",55,2,NA,NA
"20",56,2,NA,NA
"21",57,19,8,0.421052631578947
"22",70,1,NA,NA
"23",72,3,4,1.33333333333333
"24",73,2,4,2
"25",76,1,NA,NA
"26",91,1,3,3
"27",93,1,7,7
"28",95,27,22,0.814814814814815
"29",96,7,NA,NA
"30",97,5,NA,NA
"31",102,1,5,5
"32",106,1,NA,NA
"33",107,2,NA,NA
"34",109,1,3,3
"35",111,5,NA,NA
"36",114,14,8,0.571428571428571
"37",116,1,NA,NA
"38",117,2,9,4.5
"39",118,5,NA,NA
"40",120,3,NA,NA
"41",122,2,12,6
"42",125,1,NA,NA
"43",132,1,3,3
"44",134,7,3,0.428571428571429
"45",137,26,30,1.15384615384615
"46",141,6,NA,NA
"47",142,6,7,1.16666666666667
"48",146,1,6,6
"49",150,1,NA,NA
"50",151,5,NA,NA
"51",152,2,NA,NA
"52",153,5,NA,NA
"53",168,17,3,0.176470588235294
"54",173,1,6,6
"55",175,1,11,11
"56",177,1,3,3
"57",179,3,6,2
"58",182,3,2,0.666666666666667
"59",185,2,NA,NA
"60",193,3,3,1
"61",194,5,4,0.8
"62",195,3,NA,NA
"63",196,3,1,0.333333333333333
"64",197,5,1,0.2
"65",201,2,4,2
"66",202,9,1,0.111111111111111
"67",203,1,3,3
"68",205,9,5,0.555555555555556
"69",206,2,3,1.5
"70",207,6,1,0.166666666666667
"71",208,1,3,3
"72",209,5,3,0.6
"73",211,1,NA,NA
"74",217,4,3,0.75
"75",218,1,6,6
"76",219,4,3,0.75
"77",220,1,NA,NA
"78",221,1,3,3
"79",224,2,NA,NA
"80",227,2,6,3
"81",234,6,4,0.666666666666667
"82",241,2,NA,NA
"83",244,1,NA,NA
"84",245,1,2,2
"85",9999,439,205,0.466970387243736
