"","clusterID","size2017","seed.1","X","total.observed","mean.sample","adjust.seed","seed.2"
"1",1,1,1,NA,NA,NA,1,1
"2",2,5,1,NA,NA,NA,1,1
"3",3,2,1,NA,NA,NA,1,1
"4",5,9,1,NA,NA,NA,1,1
"5",6,11,1,NA,NA,NA,1,1
"6",7,3,1,NA,NA,NA,1,1
"7",8,8,1,NA,NA,NA,1,1
"8",9,2,1,NA,NA,NA,1,1
"9",10,1,1,NA,NA,NA,1,1
"10",11,2,1,NA,NA,NA,1,1
"11",12,7,1,NA,NA,NA,1,1
"12",13,31,2,1,3,8,2.66666666666667,1
"13",14,5,1,2,1,3,3,1
"14",15,11,1,NA,NA,NA,1,1
"15",16,2,1,NA,NA,NA,1,1
"16",17,6,1,NA,NA,NA,1,1
"17",18,1,1,NA,NA,NA,1,1
"18",19,1,1,NA,NA,NA,1,1
"19",20,2,1,NA,NA,NA,1,1
"20",21,1,1,NA,NA,NA,1,1
"21",22,8,1,3,19,22,1.15789473684211,1
"22",23,2,1,NA,NA,NA,1,1
"23",24,3,1,4,1,NA,1,1
"24",25,2,1,NA,NA,NA,1,1
"25",26,5,1,5,5,5,1,1
"26",27,2,1,NA,NA,NA,1,1
"27",28,2,1,NA,NA,NA,1,1
"28",29,21,1,6,1,3,3,1
"29",30,3,1,NA,NA,NA,1,1
"30",31,68,3,7,94,16,0.170212765957447,18
"31",32,3,1,NA,NA,NA,1,1
"32",33,2,1,8,1,4,4,1
"33",34,12,1,NA,NA,NA,1,1
"34",35,6,1,9,2,3,1.5,1
"35",36,3,1,NA,NA,NA,1,1
"36",38,2,1,NA,NA,NA,1,1
"37",39,2,1,NA,NA,NA,1,1
"38",40,2,1,11,3,1,0.333333333333333,4
"39",41,4,1,12,7,11,1.57142857142857,1
"40",43,1,1,NA,NA,NA,1,1
"41",44,2,1,14,1,NA,1,1
"42",47,4,1,NA,NA,NA,1,1
"43",48,1,1,NA,NA,NA,1,1
"44",49,230,10,16,11,17,1.54545454545455,7
"45",50,2,1,17,1,NA,1,1
"46",51,3,1,NA,NA,NA,1,1
"47",52,4,1,18,4,1,0.25,4
"48",53,4,1,NA,NA,NA,1,1
"49",54,1,1,NA,NA,NA,1,1
"50",56,1,1,20,2,NA,1,1
"51",57,224,10,21,19,8,0.421052631578947,24
"52",58,1,1,NA,NA,NA,1,1
"53",60,1,1,NA,NA,NA,1,1
"54",61,1,1,NA,NA,NA,1,1
"55",62,5,1,NA,NA,NA,1,1
"56",63,1,1,NA,NA,NA,1,1
"57",64,3,1,NA,NA,NA,1,1
"58",65,2,1,NA,NA,NA,1,1
"59",66,2,1,NA,NA,NA,1,1
"60",67,9,1,NA,NA,NA,1,1
"61",68,3,1,NA,NA,NA,1,1
"62",69,4,1,NA,NA,NA,1,1
"63",70,3,1,22,1,NA,1,1
"64",72,9,1,23,3,4,1.33333333333333,1
"65",73,8,1,24,2,4,2,1
"66",74,9,1,NA,NA,NA,1,1
"67",75,7,1,NA,NA,NA,1,1
"68",76,1,1,25,1,NA,1,1
"69",77,1,1,NA,NA,NA,1,1
"70",79,6,1,NA,NA,NA,1,1
"71",80,3,1,NA,NA,NA,1,1
"72",81,5,1,NA,NA,NA,1,1
"73",82,2,1,NA,NA,NA,1,1
"74",83,6,1,NA,NA,NA,1,1
"75",84,1,1,NA,NA,NA,1,1
"76",85,1,1,NA,NA,NA,1,1
"77",86,1,1,NA,NA,NA,1,1
"78",87,2,1,NA,NA,NA,1,1
"79",88,1,1,NA,NA,NA,1,1
"80",89,3,1,NA,NA,NA,1,1
"81",90,1,1,NA,NA,NA,1,1
"82",91,4,1,26,1,3,3,1
"83",92,4,1,NA,NA,NA,1,1
"84",93,7,1,27,1,8,8,1
"85",95,24,2,28,27,23,0.851851851851852,3
"86",98,3,1,NA,NA,NA,1,1
"87",99,5,1,NA,NA,NA,1,1
"88",100,4,1,NA,NA,NA,1,1
"89",102,7,1,31,1,5,5,1
"90",103,2,1,NA,NA,NA,1,1
"91",104,3,1,NA,NA,NA,1,1
"92",105,16,1,NA,NA,NA,1,1
"93",106,1,1,32,1,NA,1,1
"94",107,1,1,33,2,NA,1,1
"95",108,3,1,NA,NA,NA,1,1
"96",109,22,1,34,1,3,3,1
"97",110,25,2,NA,NA,NA,1,2
"98",112,3,1,NA,NA,NA,1,1
"99",113,1,1,NA,NA,NA,1,1
"100",115,2,1,NA,NA,NA,1,1
"101",116,1,1,37,1,NA,1,1
"102",117,3,1,38,2,9,4.5,1
"103",119,2,1,NA,NA,NA,1,1
"104",120,2,1,40,3,NA,1,1
"105",121,3,1,NA,NA,NA,1,1
"106",122,10,1,41,2,11,5.5,1
"107",123,1,1,NA,NA,NA,1,1
"108",124,4,1,NA,NA,NA,1,1
"109",125,1,1,42,1,NA,1,1
"110",127,1,1,NA,NA,NA,1,1
"111",128,6,1,NA,NA,NA,1,1
"112",129,3,1,NA,NA,NA,1,1
"113",131,8,1,NA,NA,NA,1,1
"114",132,12,1,43,1,3,3,1
"115",133,4,1,NA,NA,NA,1,1
"116",134,1,1,44,7,3,0.428571428571429,3
"117",135,6,1,NA,NA,NA,1,1
"118",136,7,1,NA,NA,NA,1,1
"119",137,31,2,45,26,30,1.15384615384615,2
"120",138,4,1,NA,NA,NA,1,1
"121",139,2,1,NA,NA,NA,1,1
"122",140,1,1,NA,NA,NA,1,1
"123",142,14,1,47,6,7,1.16666666666667,1
"124",143,4,1,NA,NA,NA,1,1
"125",144,1,1,NA,NA,NA,1,1
"126",145,1,1,NA,NA,NA,1,1
"127",146,3,1,48,1,6,6,1
"128",147,1,1,NA,NA,NA,1,1
"129",148,4,1,NA,NA,NA,1,1
"130",149,6,1,NA,NA,NA,1,1
"131",150,5,1,49,1,NA,1,1
"132",152,2,1,51,2,NA,1,1
"133",155,3,1,NA,NA,NA,1,1
"134",156,40,2,NA,NA,NA,1,2
"135",157,2,1,NA,NA,NA,1,1
"136",158,4,1,NA,NA,NA,1,1
"137",159,4,1,NA,NA,NA,1,1
"138",160,3,1,NA,NA,NA,1,1
"139",161,2,1,NA,NA,NA,1,1
"140",162,2,1,NA,NA,NA,1,1
"141",163,6,1,NA,NA,NA,1,1
"142",164,9,1,NA,NA,NA,1,1
"143",165,4,1,NA,NA,NA,1,1
"144",166,8,1,NA,NA,NA,1,1
"145",167,5,1,NA,NA,NA,1,1
"146",169,5,1,NA,NA,NA,1,1
"147",170,3,1,NA,NA,NA,1,1
"148",171,5,1,NA,NA,NA,1,1
"149",172,11,1,NA,NA,NA,1,1
"150",173,3,1,54,1,6,6,1
"151",174,2,1,NA,NA,NA,1,1
"152",175,24,2,55,1,11,11,1
"153",176,1,1,NA,NA,NA,1,1
"154",177,15,1,56,1,3,3,1
"155",178,3,1,NA,NA,NA,1,1
"156",179,1,1,57,3,6,2,1
"157",180,3,1,NA,NA,NA,1,1
"158",181,5,1,NA,NA,NA,1,1
"159",182,4,1,58,3,2,0.666666666666667,2
"160",183,6,1,NA,NA,NA,1,1
"161",184,1,1,NA,NA,NA,1,1
"162",185,4,1,59,2,NA,1,1
"163",187,2,1,NA,NA,NA,1,1
"164",188,2,1,NA,NA,NA,1,1
"165",189,1,1,NA,NA,NA,1,1
"166",191,4,1,NA,NA,NA,1,1
"167",192,1,1,NA,NA,NA,1,1
"168",193,5,1,60,3,3,1,1
"169",195,1,1,62,3,NA,1,1
"170",196,1,1,63,3,1,0.333333333333333,4
"171",198,4,1,NA,NA,NA,1,1
"172",199,3,1,NA,NA,NA,1,1
"173",200,19,1,NA,NA,NA,1,1
"174",201,35,2,65,2,4,2,1
"175",202,3,1,66,9,1,0.111111111111111,10
"176",203,5,1,67,1,3,3,1
"177",204,29,2,NA,NA,NA,1,2
"178",206,13,1,69,2,3,1.5,1
"179",207,1,1,70,6,1,0.166666666666667,6
"180",208,2,1,71,1,3,3,1
"181",209,9,1,72,5,3,0.6,2
"182",210,18,1,NA,NA,NA,1,1
"183",211,2,1,73,1,NA,1,1
"184",212,5,1,NA,NA,NA,1,1
"185",213,2,1,NA,NA,NA,1,1
"186",214,1,1,NA,NA,NA,1,1
"187",215,7,1,NA,NA,NA,1,1
"188",216,2,1,NA,NA,NA,1,1
"189",217,12,1,74,4,4,1,1
"190",218,5,1,75,1,6,6,1
"191",219,8,1,76,4,3,0.75,2
"192",220,1,1,77,1,NA,1,1
"193",221,2,1,78,1,3,3,1
"194",222,1,1,NA,NA,NA,1,1
"195",223,1,1,NA,NA,NA,1,1
"196",224,1,1,79,2,NA,1,1
"197",225,2,1,NA,NA,NA,1,1
"198",226,2,1,NA,NA,NA,1,1
"199",227,1,1,80,2,6,3,1
"200",228,1,1,NA,NA,NA,1,1
"201",229,2,1,NA,NA,NA,1,1
"202",230,1,1,NA,NA,NA,1,1
"203",231,2,1,NA,NA,NA,1,1
"204",232,2,1,NA,NA,NA,1,1
"205",234,8,1,81,6,5,0.833333333333333,2
"206",235,14,1,NA,NA,NA,1,1
"207",236,3,1,NA,NA,NA,1,1
"208",237,2,1,NA,NA,NA,1,1
"209",238,1,1,NA,NA,NA,1,1
"210",239,1,1,NA,NA,NA,1,1
"211",240,1,1,NA,NA,NA,1,1
"212",241,1,1,82,2,NA,1,1
"213",242,2,1,NA,NA,NA,1,1
"214",243,1,1,NA,NA,NA,1,1
"215",246,6,1,NA,NA,NA,1,1
"216",9999,1582,68,85,439,205,0.466970387243736,146
"217",168,1,1,53,17,3,0.176470588235294,6
"218",194,1,1,61,5,4,0.8,2
"219",114,1,1,36,14,8,0.571428571428571,2
"220",245,1,1,84,1,2,2,1
"221",197,1,1,64,5,1,0.2,5
