"","year","n","avepopBC","n.percap"
"1",1987,9,3043088.25,0.295752185300574
"2",1988,36,3108064.25,1.1582772138639
"3",1989,204,3189665,6.39565597014106
"4",1990,254,3282328.5,7.73840887650337
"5",1991,232,3367589,6.88920174047367
"6",1992,248,3459366.25,7.16894315541178
"7",1993,615,3558490.75,17.2826078021982
"8",1994,344,3664473,9.38743442781541
"9",1995,462,3766198,12.267013046048
"10",1996,992,3862539.75,25.6825835902401
"11",1997,799,3939701.5,20.2807243137583
"12",1998,542,3981074.25,13.6144157572545
"13",1999,472,4007762.75,11.7771442433812
"14",2000,374,4037127.5,9.26401259311231
"15",2001,308,4070963,7.56577743398798
"16",2002,295,4097537.25,7.19944644798531
"17",2003,324,4121031.5,7.86210928016444
"18",2004,307,4152310.75,7.39347362188632
"19",2005,348,4191434.5,8.30264674301841
"20",2006,380,4236595.5,8.96946616687857
"21",2007,451,4286277,10.5219518010619
"22",2008,479,4342957.25,11.0293510257325
"23",2009,500,4404782.25,11.351298920622
"24",2010,459,4461067.75,10.2890165700801
"25",2011,508,4500944,11.2865212275469
"26",2012,418,4564451.75,9.15772633591756
"27",2013,376,4629484.75,8.12185416530425
"28",2014,351,4704528.25,7.46089684975321
"29",2015,328,4769093.75,6.87761694766432
"30",2016,293,4846627.75,6.04544056431815
"31",2017,228,4925006.5,4.62943551445059
"32",2018,206,5009884.5,4.1118712417422
"33",2019,185,5100179,3.62732366844379
"34",2020,156,5169146.25,3.01790648697548
"35",2021,149,5218564.25,2.85519144465837
"36",2022,143,5339113.5,2.67834725746137
