"","yearmonth","n.newcase","n.death","n.migrant","prev","quarter","popBC","year","prev.percap"
"1",Jan 1987,3,NA,NA,3,1987-01-01,3021900,"1987",0.0992752903802244
"2",Feb 1987,4,NA,NA,7,1987-01-01,3021900,"1987",0.231642344220524
"3",Aug 1987,1,NA,NA,8,1987-07-01,3048651,"1987",0.262411145126156
"4",Oct 1987,1,NA,NA,9,1987-10-01,3068995,"1987",0.293255609735435
"5",Jan 1988,4,NA,NA,13,1988-01-01,3081368,"1988",0.42189053693035
"6",Feb 1988,3,NA,NA,16,1988-01-01,3081368,"1988",0.519249891606585
"7",Mar 1988,3,NA,NA,19,1988-01-01,3081368,"1988",0.61660924628282
"8",Apr 1988,3,NA,NA,22,1988-04-01,3094274,"1988",0.710990687961053
"9",May 1988,1,NA,NA,23,1988-04-01,3094274,"1988",0.743308446504737
"10",Jun 1988,2,NA,NA,25,1988-04-01,3094274,"1988",0.807943963592106
"11",Jul 1988,4,NA,NA,29,1988-07-01,3114761,"1988",0.931050568566898
"12",Aug 1988,1,NA,NA,30,1988-07-01,3114761,"1988",0.963155760586446
"13",Sep 1988,4,NA,NA,34,1988-07-01,3114761,"1988",1.09157652866464
"14",Oct 1988,1,NA,NA,35,1988-10-01,3141854,"1988",1.1139919296059
"15",Nov 1988,6,NA,NA,41,1988-10-01,3141854,"1988",1.30496197468119
"16",Dec 1988,4,NA,NA,45,1988-10-01,3141854,"1988",1.43227533806472
"17",Jan 1989,4,NA,NA,49,1989-01-01,3158092,"1989",1.55156974527658
"18",Feb 1989,11,NA,NA,60,1989-01-01,3158092,"1989",1.89988132074683
"19",Mar 1989,10,NA,NA,70,1989-01-01,3158092,"1989",2.21652820753797
"20",Apr 1989,9,NA,NA,79,1989-04-01,3174623,"1989",2.48848445941455
"21",May 1989,8,NA,NA,87,1989-04-01,3174623,"1989",2.74048288568438
"22",Jun 1989,6,NA,NA,93,1989-04-01,3174623,"1989",2.92948170538675
"23",Jul 1989,13,NA,NA,106,1989-07-01,3196725,"1989",3.31589360986635
"24",Aug 1989,6,NA,1,113,1989-07-01,3196725,"1989",3.53486771617828
"25",Sep 1989,17,NA,NA,130,1989-07-01,3196725,"1989",4.06666197436439
"26",Oct 1989,29,NA,NA,159,1989-10-01,3229220,"1989",4.92378964579682
"27",Nov 1989,43,NA,NA,202,1989-10-01,3229220,"1989",6.25538055629533
"28",Dec 1989,48,NA,NA,250,1989-10-01,3229220,"1989",7.74180761917739
"29",Jan 1990,41,NA,NA,291,1990-01-01,3247419,"1990",8.96096253670992
"30",Feb 1990,33,NA,NA,324,1990-01-01,3247419,"1990",9.97715416458424
"31",Mar 1990,22,NA,NA,346,1990-01-01,3247419,"1990",10.6546152498338
"32",Apr 1990,19,NA,NA,365,1990-04-01,3266888,"1990",11.1727123794878
"33",May 1990,25,NA,NA,390,1990-04-01,3266888,"1990",11.9379666520554
"34",Jun 1990,22,NA,NA,412,1990-04-01,3266888,"1990",12.6113904119149
"35",Jul 1990,7,NA,1,420,1990-07-01,3292111,"1990",12.7577715332199
"36",Aug 1990,14,NA,NA,434,1990-07-01,3292111,"1990",13.1830305843272
"37",Sep 1990,19,NA,NA,453,1990-07-01,3292111,"1990",13.7601678679729
"38",Oct 1990,17,NA,NA,470,1990-10-01,3322896,"1990",14.1442885964532
"39",Nov 1990,20,NA,NA,490,1990-10-01,3322896,"1990",14.7461732175789
"40",Dec 1990,15,NA,NA,505,1990-10-01,3322896,"1990",15.1975866834231
"41",Jan 1991,20,NA,1,526,1991-01-01,3339935,"1991",15.7488094828193
"42",Feb 1991,14,NA,NA,540,1991-01-01,3339935,"1991",16.1679793169628
"43",Mar 1991,18,NA,NA,558,1991-01-01,3339935,"1991",16.7069119608615
"44",Apr 1991,20,NA,NA,578,1991-04-01,3352585,"1991",17.2404279086138
"45",May 1991,19,NA,NA,597,1991-04-01,3352585,"1991",17.8071547775821
"46",Jun 1991,19,NA,NA,616,1991-04-01,3352585,"1991",18.3738816465503
"47",Jul 1991,29,NA,NA,645,1991-07-01,3373787,"1991",19.1179822555484
"48",Aug 1991,22,NA,NA,667,1991-07-01,3373787,"1991",19.7700684720168
"49",Sep 1991,23,NA,NA,690,1991-07-01,3373787,"1991",20.4517949710518
"50",Oct 1991,22,NA,NA,712,1991-10-01,3404049,"1991",20.9162676565467
"51",Nov 1991,22,NA,NA,734,1991-10-01,3404049,"1991",21.5625568257096
"52",Dec 1991,4,NA,NA,738,1991-10-01,3404049,"1991",21.6800639473756
"53",Jan 1992,5,NA,NA,743,1992-01-01,3423217,"1992",21.7047297907202
"54",Feb 1992,1,NA,NA,744,1992-01-01,3423217,"1992",21.7339420784601
"55",Mar 1992,3,NA,NA,747,1992-01-01,3423217,"1992",21.8215789416797
"56",Apr 1992,1,NA,NA,748,1992-04-01,3443237,"1992",21.7237442557686
"57",May 1992,1,NA,NA,749,1992-04-01,3443237,"1992",21.7527866946132
"58",Jun 1992,2,1,NA,751,1992-04-01,3443237,"1992",21.8108715723025
"59",Jul 1992,1,NA,NA,751,1992-07-01,3468802,"1992",21.6501258936082
"60",Aug 1992,4,NA,NA,755,1992-07-01,3468802,"1992",21.7654394802586
"61",Sep 1992,18,NA,NA,773,1992-07-01,3468802,"1992",22.2843506201853
"62",Oct 1992,51,NA,NA,824,1992-10-01,3502209,"1992",23.528007608912
"63",Nov 1992,72,NA,NA,896,1992-10-01,3502209,"1992",25.5838529339625
"64",Dec 1992,89,1,NA,985,1992-10-01,3502209,"1992",28.1251061829834
"65",Jan 1993,158,10,NA,1142,1993-01-01,3522509,"1993",32.4200733057034
"66",Feb 1993,94,6,NA,1226,1993-01-01,3522509,"1993",34.804737191587
"67",Mar 1993,65,16,NA,1285,1993-01-01,3522509,"1993",36.4796796828624
"68",Apr 1993,57,11,NA,1326,1993-04-01,3541936,"1993",37.4371530146225
