Geography,Q3 1986,Q4 1986,Q1 1987,Q2 1987,Q3 1987,Q4 1987,Q1 1988,Q2 1988,Q3 1988,Q4 1988,Q1 1989,Q2 1989,Q3 1989,Q4 1989,Q1 1990,Q2 1990,Q3 1990,Q4 1990,Q1 1991,Q2 1991,Q3 1991,Q4 1991,Q1 1992,Q2 1992,Q3 1992,Q4 1992,Q1 1993,Q2 1993,Q3 1993,Q4 1993,Q1 1994,Q2 1994,Q3 1994,Q4 1994,Q1 1995,Q2 1995,Q3 1995,Q4 1995,Q1 1996,Q2 1996,Q3 1996,Q4 1996,Q1 1997,Q2 1997,Q3 1997,Q4 1997,Q1 1998,Q2 1998,Q3 1998,Q4 1998,Q1 1999,Q2 1999,Q3 1999,Q4 1999,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
Canada,26100278,26187639,26256140,26346370,26446601,26542370,26602328,26679165,26791747,26932655,27032356,27147776,27276781,27402695,27463550,27567161,27691138,27807591,27854861,27928837,28037420,28127327,28181477,28269699,28371264,28474177,28533602,28600864,28684764,28786619,28835772,28907448,29000663,29096372,29141902,29211541,29302311,29396274,29446857,29514217,29610218,29708206,29751536,29818012,29905948,29994790,30028506,30080180,30155173,30231639,30260117,30314696,30401286,30492106,30525872,30594030,30685730,30783969,30824441,30910996,31020855,31128873,31168896,31252682,31359199,31450677,31479415,31549344,31642461,31736141,31775723,31844704,31938807,32038207,32075011,32140569,32242732,32353311,32394909,32470171,32571193,32680839,32717848,32785964,32888886,33001918,33050262,33127394,33247298,33372978,33427754,33512305,33630069,33758581,33809016,33890461,34005902,34132531,34166633,34230555,34339221,34457713,34516032,34592192,34713395,34834973,34881794,34956567,35080992,35209597,35247023,35320540,35434066,35555305,35571043,35606734,35704498,35823591,35871484,35970407,36110803,36257421,36313068,36397141,36545075,36722075,36801579,36903671,37072620,37259485,37336956,37437243,37618495,37828162,37928208,38006941,38028638,38027406,38058291,38140918,38239864,38451454,38567576,38683567,38939056,39276140,39498018,39739633,40097761
Newfoundland and Labrador,576306,575396,575586,575802,575242,574094,574543,574912,574982,574645,575626,576458,576551,575594,576278,577167,577368,577113,577377,578397,579644,579549,579425,579761,580109,579624,580819,580369,579977,578194,577128,575670,574466,572068,570563,569068,567397,565008,563679,561646,559698,557281,555432,553115,550911,547639,545769,542479,539843,537908,536515,534498,533329,532246,531774,529574,527966,526732,525299,523235,522043,521583,521414,520176,519411,519387,519140,518735,518389,518718,518677,517888,517375,516863,516750,515324,514310,513725,512554,510959,510593,510325,510329,509126,509047,510256,510989,511239,511569,513425,514210,514707,516741,518975,520276,521197,522002,522861,523723,524238,524955,525845,526115,525550,526235,527065,527129,527177,526960,527948,528065,527314,527970,528266,528161,527859,528348,528843,528903,529083,529586,530368,530175,529700,529742,530153,529743,528924,528402,528926,528326,527993,527643,528442,528231,527733,526884,526046,525895,526195,527056,528335,528977,529249,531583,533444,534964,536291,538605
Prince Edward Island,128436,128281,128429,128645,128641,128758,129152,129242,129289,129327,129984,130192,130153,129900,130336,130468,130404,130367,130477,130453,130369,130360,130604,130812,130827,131201,131564,131833,132177,132467,132752,133030,133437,133800,134060,134175,134415,134971,135119,135311,135737,136004,135935,135931,136095,136165,135938,135635,135804,135908,135994,136025,136281,136424,136442,136289,136470,136400,136377,136499,136667,136876,136858,136893,136882,137082,137079,137124,137231,137430,137512,137631,137682,137697,137691,137790,138067,138133,137908,137847,137869,137898,137777,137707,137709,138020,137990,138175,138736,139448,139114,139190,139873,140596,140598,140978,141644,142725,143016,143265,143918,144283,144208,144365,144415,144396,144041,143807,143942,143943,143828,143810,144095,144342,144162,144046,144636,144949,145238,145792,146891,147699,147811,148354,149740,150595,150619,151008,152259,153906,153881,154409,155792,157025,157494,158401,159193,159179,159240,160334,162133,163775,164195,165524,167188,169146,169935,171790,173787
Nova Scotia,889087,891078,891424,891908,893606,894585,894600,895638,897216,899462,900270,901341,903841,906644,907394,908444,910451,911749,912792,912889,914969,916896,917302,917555,919451,921619,922128,922469,923925,925851,925852,926109,926871,927778,927395,927641,928120,930028,929782,929921,931327,932276,932349,931832,932402,932735,932549,932033,931836,932740,932145,932116,933784,935941,934594,934291,933821,934459,933463,932909,932483,933318,933757,934165,935172,935959,935495,935775,937681,938744,938946,938738,939625,939855,939202,937989,937931,938755,938120,937665,937880,937060,936232,935028,935164,935433,935540,935704,935965,937108,937445,937489,938266,940558,940879,940967,942144,944201,944082,943921,944095,944645,943907,943317,943163,942829,942045,940647,939808,939442,939166,938175,937768,938157,937442,935380,937419,938914,938973,940471,942984,946623,947023,948945,952159,956074,956711,957883,962072,967578,968724,970680,975799,982592,984130,986204,989168,989154,990025,993946,999908,1006805,1010460,1014827,1025445,1035666,1040195,1047803,1058694
New Brunswick,725019,725304,725368,726566,727768,728100,728401,729079,730349,731671,732462,733872,735129,736352,737307,738744,740156,741981,743210,744203,745567,745886,746571,747232,748121,747746,747892,748320,748812,749454,749531,749473,750185,750670,750819,750692,750943,751174,751581,751872,752268,752526,752334,752447,752511,752248,751969,751080,750530,750708,750127,750075,750601,750643,750786,750543,750517,750252,749715,749789,749823,749298,748639,748778,749375,749416,749243,749269,749444,749467,749192,749340,749424,749249,749005,748696,748061,747674,746985,746337,745621,744973,744849,744934,745430,746136,746284,746529,746875,747767,748375,749165,749956,751066,751282,752020,753034,754287,754795,754843,755590,756187,757039,757024,758121,758408,758026,757854,758261,758379,758713,758570,758657,759192,759270,758579,759226,759971,760679,762317,763322,764820,764612,764859,766697,768029,768146,768707,770497,772793,773059,774277,777387,780907,781054,782512,783432,783814,784950,787002,790802,795755,798656,801778,809568,817766,820943,826622,834691
Quebec,6708170,6727250,6745101,6765059,6781984,6796640,6805203,6818248,6837077,6864044,6882602,6903228,6925128,6946945,6955119,6973762,6996986,7019039,7026241,7044395,7067396,7080336,7082645,7096705,7110010,7129062,7137514,7147047,7156537,7172016,7177923,7184599,7192403,7201106,7205074,7210305,7219219,7228600,7232952,7237307,7246897,7257616,7262945,7267820,7274611,7282871,7286008,7290497,7295935,7305302,7310238,7315053,7323250,7334722,7340269,7347179,7356951,7368772,7373978,7383844,7396014,7411084,7417456,7427639,7441305,7455548,7461162,7471463,7485488,7503483,7510218,7520109,7535483,7553578,7559576,7567277,7581467,7598880,7604228,7615496,7631901,7652881,7661201,7673938,7692400,7712616,7724885,7739956,7761614,7786609,7799271,7817425,7843915,7871847,7886127,7903676,7929479,7955183,7967270,7982145,8004736,8021063,8028516,8038332,8059752,8076838,8081006,8089004,8108825,8122462,8123138,8129926,8147535,8162631,8160176,8159968,8175743,8190074,8193831,8204229,8225036,8246383,8252179,8265839,8292832,8326075,8338883,8354460,8386951,8418646,8430363,8447632,8483186,8521542,8537376,8550900,8551095,8551865,8550561,8556015,8572020,8603553,8613999,8627524,8672185,8730868,8767038,8814007,8874683
Ontario,9437359,9493289,9531478,9577947,9637945,9702789,9735171,9774964,9838620,9917210,9969308,10031922,10103305,10167642,10189985,10238884,10295832,10344678,10355101,10385937,10431316,10465562,10488022,10528346,10572205,10610665,10629994,10656924,10690038,10728737,10744762,10776819,10819146,10860406,10875308,10906895,10950119,10993416,11009307,11037392,11082903,11130574,11146270,11179959,11227651,11278893,11292059,11322038,11365901,11408804,11419589,11452857,11504759,11559464,11576994,11621255,11683290,11748348,11771945,11827345,11897473,11961546,11979906,12029818,12093412,12145100,12155691,12194269,12243641,12290116,12303516,12339813,12389641,12435931,12444755,12476560,12527581,12578240,12587149,12618321,12661953,12701324,12703327,12727090,12765133,12807497,12814686,12840482,12883824,12927520,12932742,12956924,12998941,13048442,13059426,13088924,13136481,13189987,13199081,13222146,13262345,13310604,13325337,13350123,13392364,13436625,13446276,13469151,13511902,13559499,13563311,13583220,13617763,13661282,13657423,13669290,13709293,13759762,13774364,13816652,13876500,13948180,13975516,14012209,14078499,14161084,14199811,14251136,14326746,14413055,14449986,14493612,14573565,14666727,14718155,14752374,14761811,14757582,14772726,14808093,14842488,14942272,14999441,15046211,15145006,15283961,15378179,15457075,15608369
Manitoba,1091552,1092636,1094659,1097076,1098373,1098195,1099782,1101404,1102152,1101074,1101544,1102669,1103792,1102522,1102752,1103935,1105421,1105098,1106196,1107757,1109604,1109400,1109978,1111050,1112689,1113209,1114180,1115554,1117618,1118603,1119284,1120863,1123230,1124263,1124947,1127234,1129150,1129547,1130288,1132025,1134196,1134619,1134997,1135846,1136128,1135649,1135770,1136177,1137489,1138328,1138946,1140502,1142448,1143618,1144428,1145873,1147313,1148183,1148456,1149684,1151451,1152144,1152828,1154728,1156673,1157289,1158358,1160853,1163585,1165518,1167643,1170336,1173228,1174667,1176047,1177285,1178262,1179082,1179916,1181632,1183560,1183975,1184495,1186421,1189446,1191684,1193396,1194653,1197767,1199551,1201705,1204013,1208555,1211881,1213941,1216618,1220782,1224663,1227210,1229058,1233353,1237390,1241417,1244884,1249094,1253210,1256879,1259693,1263393,1267105,1270153,1272914,1277425,1281690,1284693,1286250,1293598,1298120,1302938,1307797,1314140,1319800,1324044,1328337,1334734,1340426,1344198,1346916,1352687,1357856,1361737,1364666,1370033,1373884,1377283,1379280,1380132,1381809,1383854,1388611,1391924,1396460,1400663,1405197,1413409,1423596,1432674,1443875,1454902
Saskatchewan,1028717,1029554,1029639,1031336,1032799,1031995,1029527,1028590,1028225,1025453,1021497,1020302,1019439,1016043,1011429,1009952,1007727,1004214,1002651,1002876,1002713,1000942,1001136,1002831,1003995,1002960,1003443,1005037,1006900,1007016,1007554,1008540,1009575,1010784,1011784,1012795,1014187,1015349,1016198,1017872,1018945,1019408,1018326,1017683,1017902,1017426,1017504,1017105,1017332,1017748,1016883,1015716,1014524,1012582,1011141,1009177,1007565,1006027,1003469,1001643,1000307,999241,998742,997792,996854,996324,996286,995785,996422,996585,996586,997106,997305,997010,995914,994902,993510,993299,992246,991231,992313,993359,995170,997541,1002074,1007305,1010279,1013449,1017368,1022511,1025946,1029862,1034791,1039530,1042936,1046779,1051426,1056102,1058969,1061484,1065661,1069950,1073565,1077170,1083005,1088177,1090738,1093549,1098868,1102832,1105444,1108674,1111989,1115184,1117137,1117736,1122210,1125588,1128160,1131285,1135496,1139492,1141537,1143829,1147315,1151044,1152366,1153530,1156210,1159648,1161529,1161787,1164223,1167271,1169426,1169038,1167386,1165963,1166348,1167711,1167711,1168901,1171031,1173366,1178422,1187607,1194869,1200540,1209107
Alberta,2432930,2429949,2432958,2439074,2440877,2437537,2443396,2450646,2456614,2465242,2477533,2489032,2498325,2507203,2520056,2532621,2547788,2563142,2572947,2580625,2592306,2604031,2611786,2620771,2632672,2643421,2650886,2658293,2667292,2678623,2683346,2691443,2700606,2709011,2715701,2724946,2734519,2745255,2753463,2762903,2775133,2789691,2799561,2813157,2829848,2847526,2859305,2876753,2899066,2915781,2926079,2937393,2952692,2966682,2974517,2988465,3004198,3016947,3027941,3041238,3058554,3078756,3092506,3108716,3128757,3145227,3155370,3169295,3183291,3198059,3209557,3223659,3238817,3260721,3276908,3296359,3321839,3346802,3371851,3396809,3421435,3453945,3472779,3490849,3514151,3533414,3548804,3567475,3595875,3619319,3638505,3659235,3679010,3694318,3702290,3714999,3732104,3747235,3754422,3768774,3787705,3805071,3822425,3845093,3871947,3897746,3917941,3944281,3978532,4008421,4027497,4051858,4081271,4103702,4113697,4125943,4150147,4163048,4171847,4182353,4195427,4207139,4215506,4224933,4237310,4253530,4263957,4276444,4292556,4311439,4324254,4337569,4355377,4376860,4392958,4405455,4407495,4412013,4418338,4425617,4431531,4450442,4465537,4480956,4510891,4561350,4598444,4645229,4695290
